Year,Transect,Level,Replicate,Data_Taken,Organism,Category,Notes
2021,15,-1,1,YES,Elachista fucicola,0.0,NA
2021,15,-1,1,YES,Sertularia,0.0,NA
2021,15,-1,1,YES,Tubularia sp.,0.0,NA
2021,15,-1,1,YES,Campanularia/Obelia,0.0,NA
2021,15,-1,1,YES,Metridium senile,0.0,NA
2021,15,-1,1,YES,Electra pilosa,0.0,NA
2021,15,-1,1,YES,Schizoporella unicornis,0.0,NA
2021,15,-1,1,YES,Membranipora membranacea,0.0,NA
2021,15,-1,1,YES,Celleporella hyalina,0.0,NA
2021,15,-1,1,YES,Cryptosula pallasiana,0.0,NA
2021,15,-1,1,YES,Spirorbis,0.0,NA
2021,15,-1,1,YES,Leucosolenia,0.0,NA
2021,15,-1,1,YES,Halichondria,0.0,NA
2021,15,-1,1,YES,Porphyra,0.0,NA
2021,15,-1,1,YES,Flustrellidra hispida,0.0,NA
2021,15,-1,1,YES,Ectocarpus,0.0,NA
2021,15,-1,1,YES,Microporella ciliata,0.0,NA
2021,15,-1,1,YES,Spermothamnion repens,0.0,NA
2021,15,-1,1,YES,Alcyonidium sp.,0.0,NA
2021,15,-1,1,YES,Acrosiphonia sp.,0.0,NA
2021,15,-1,1,YES,Ahnfeltia plicata,0.0,NA
2021,15,-1,1,YES,Bugula neritina,0.0,NA
2021,15,-1,1,YES,Ceramium virgatum,0.0,NA
2021,15,-1,1,YES,Chaetomorpha,0.0,NA
2021,15,-1,1,YES,Chordaria flagelliformis,0.0,NA
2021,15,-1,1,YES,Cribrilina,0.0,NA
2021,15,-1,1,YES,Cladophora,0.0,NA
2021,15,-1,1,YES,Colpomenia peregrina,0.0,NA
2021,15,-1,1,YES,Dynamena pumila,0.0,NA
2021,15,-1,1,YES,Enteromorpha,0.0,NA
2021,15,-1,1,YES,Leathesia marina,0.0,NA
2021,15,-1,1,YES,Polysiphonia,0.0,NA
2021,15,-1,1,YES,Rhizoclonium tortuosum,0.0,NA
2021,15,-1,1,YES,Ulva lactuca,0.0,NA
2021,15,-1,1,YES,unident bryozoans,0.0,NA
2021,15,-1,1,YES,Aplidium (formerly Amaroucium),0.0,NA
2021,15,-1,1,YES,Botrylloides violaceus,0.0,NA
2021,15,-1,1,YES,Botryllus schlosseri...43,0.0,NA
2021,15,-1,1,YES,Amathia,0.0,NA
2021,15,-1,1,YES,Codium fragile,0.0,NA
2021,15,-1,1,YES,Cystoclonium purpureum,0.0,NA
2021,15,-1,1,YES,Botryllus schlosseri...47,0.0,NA
2021,15,-1,1,YES,Didemnum vexillum,0.0,NA
2021,15,-1,1,YES,Diplosoma,0.0,NA
2021,15,-1,1,YES,Dumontia contorta,0.0,NA
2021,15,-1,1,YES,Pylaiella littoralis,0.0,NA
2021,15,-1,1,YES,Plumaria plumosa,0.0,NA
2021,15,-1,1,YES,Scytosiphon lomentaria,0.0,NA
2021,15,-1,1,YES,Spongomorpha sp.,0.0,NA
2021,15,-1,1,YES,Corallina officinalis,0.0,NA
2021,15,-1,1,YES,Vertebrata lanosa,0.0,NA
2021,15,-1,1,YES,Bonnemaisonia hamifera,0.0,NA
2021,15,-1,1,YES,Prasiola stipitata,0.0,NA
2021,15,-1,1,YES,Tricellaria,0.0,NA
2021,15,-1,1,YES,Hildenbrandia rubra,0.0,NA
2021,15,-1,1,YES,Bare rock,0.0,NA
2021,15,-1,1,YES,Mytilus edulis,0.0,NA
2021,15,-1,1,YES,Fucus Base,0.0,NA
2021,15,-1,1,YES,Modiolus modiolus,0.0,NA
2021,15,-1,1,YES,Semibalanus balanoides,0.0,NA
2021,15,-1,1,YES,Cladostephus spongiosus,0.0,NA
2021,15,-1,1,YES,Fucus spiralis Base,0.0,NA
2021,15,-1,1,YES,Fucus vesiculosus Base,0.0,NA
2021,15,-1,1,YES,Chondrus crispus Base,0.0,NA
2021,15,-1,2,YES,Elachista fucicola,0.0,NA
2021,15,-1,2,YES,Sertularia,0.0,NA
2021,15,-1,2,YES,Tubularia sp.,0.0,NA
2021,15,-1,2,YES,Campanularia/Obelia,0.0,NA
2021,15,-1,2,YES,Metridium senile,0.0,NA
2021,15,-1,2,YES,Electra pilosa,0.0,NA
2021,15,-1,2,YES,Schizoporella unicornis,0.0,NA
2021,15,-1,2,YES,Membranipora membranacea,0.0,NA
2021,15,-1,2,YES,Celleporella hyalina,0.0,NA
2021,15,-1,2,YES,Cryptosula pallasiana,0.0,NA
2021,15,-1,2,YES,Spirorbis,0.0,NA
2021,15,-1,2,YES,Leucosolenia,0.0,NA
2021,15,-1,2,YES,Halichondria,0.0,NA
2021,15,-1,2,YES,Porphyra,0.0,NA
2021,15,-1,2,YES,Flustrellidra hispida,0.0,NA
2021,15,-1,2,YES,Ectocarpus,0.0,NA
2021,15,-1,2,YES,Microporella ciliata,0.0,NA
2021,15,-1,2,YES,Spermothamnion repens,0.0,NA
2021,15,-1,2,YES,Alcyonidium sp.,0.0,NA
2021,15,-1,2,YES,Acrosiphonia sp.,0.0,NA
2021,15,-1,2,YES,Ahnfeltia plicata,0.0,NA
2021,15,-1,2,YES,Bugula neritina,0.0,NA
2021,15,-1,2,YES,Ceramium virgatum,0.0,NA
2021,15,-1,2,YES,Chaetomorpha,0.0,NA
2021,15,-1,2,YES,Chordaria flagelliformis,0.0,NA
2021,15,-1,2,YES,Cribrilina,0.0,NA
2021,15,-1,2,YES,Cladophora,0.0,NA
2021,15,-1,2,YES,Colpomenia peregrina,0.0,NA
2021,15,-1,2,YES,Dynamena pumila,0.0,NA
2021,15,-1,2,YES,Enteromorpha,0.0,NA
2021,15,-1,2,YES,Leathesia marina,0.0,NA
2021,15,-1,2,YES,Polysiphonia,0.0,NA
2021,15,-1,2,YES,Rhizoclonium tortuosum,0.0,NA
2021,15,-1,2,YES,Ulva lactuca,0.0,NA
2021,15,-1,2,YES,unident bryozoans,0.0,NA
2021,15,-1,2,YES,Aplidium (formerly Amaroucium),0.0,NA
2021,15,-1,2,YES,Botrylloides violaceus,0.0,NA
2021,15,-1,2,YES,Botryllus schlosseri...43,0.0,NA
2021,15,-1,2,YES,Amathia,0.0,NA
2021,15,-1,2,YES,Codium fragile,0.0,NA
2021,15,-1,2,YES,Cystoclonium purpureum,0.0,NA
2021,15,-1,2,YES,Botryllus schlosseri...47,0.0,NA
2021,15,-1,2,YES,Didemnum vexillum,0.0,NA
2021,15,-1,2,YES,Diplosoma,0.0,NA
2021,15,-1,2,YES,Dumontia contorta,0.0,NA
2021,15,-1,2,YES,Pylaiella littoralis,0.0,NA
2021,15,-1,2,YES,Plumaria plumosa,0.0,NA
2021,15,-1,2,YES,Scytosiphon lomentaria,0.0,NA
2021,15,-1,2,YES,Spongomorpha sp.,0.0,NA
2021,15,-1,2,YES,Corallina officinalis,0.0,NA
2021,15,-1,2,YES,Vertebrata lanosa,0.0,NA
2021,15,-1,2,YES,Bonnemaisonia hamifera,0.0,NA
2021,15,-1,2,YES,Prasiola stipitata,0.0,NA
2021,15,-1,2,YES,Tricellaria,0.0,NA
2021,15,-1,2,YES,Hildenbrandia rubra,0.0,NA
2021,15,-1,2,YES,Bare rock,0.0,NA
2021,15,-1,2,YES,Mytilus edulis,0.0,NA
2021,15,-1,2,YES,Fucus Base,0.0,NA
2021,15,-1,2,YES,Modiolus modiolus,0.0,NA
2021,15,-1,2,YES,Semibalanus balanoides,0.0,NA
2021,15,-1,2,YES,Cladostephus spongiosus,0.0,NA
2021,15,-1,2,YES,Fucus spiralis Base,0.0,NA
2021,15,-1,2,YES,Fucus vesiculosus Base,0.0,NA
2021,15,-1,2,YES,Chondrus crispus Base,0.0,NA
2021,15,-1,3,YES,Elachista fucicola,0.0,NA
2021,15,-1,3,YES,Sertularia,0.0,NA
2021,15,-1,3,YES,Tubularia sp.,0.0,NA
2021,15,-1,3,YES,Campanularia/Obelia,0.0,NA
2021,15,-1,3,YES,Metridium senile,0.0,NA
2021,15,-1,3,YES,Electra pilosa,0.0,NA
2021,15,-1,3,YES,Schizoporella unicornis,0.0,NA
2021,15,-1,3,YES,Membranipora membranacea,0.0,NA
2021,15,-1,3,YES,Celleporella hyalina,0.0,NA
2021,15,-1,3,YES,Cryptosula pallasiana,0.0,NA
2021,15,-1,3,YES,Spirorbis,0.0,NA
2021,15,-1,3,YES,Leucosolenia,0.0,NA
2021,15,-1,3,YES,Halichondria,0.0,NA
2021,15,-1,3,YES,Porphyra,0.0,NA
