"Year","Transect","Level","Replicate","Data_taken","Organism","Percent_cover"
2021,5,0,1,"yes","Acrosiphonia","0.0"
2021,5,0,1,"yes","Ahnfeltia plicata","0.0"
2021,5,0,1,"yes","Anomia simplex","0.0"
2021,5,0,1,"yes","Ascophyllum nodosum (canopy)","0.0"
2021,5,0,1,"yes","Ascophyllum nodosum (primary)","0.0"
2021,5,0,1,"yes","Bare rock","100.0"
2021,5,0,1,"yes","Black zone","0.0"
2021,5,0,1,"yes","Bonnemaisonia hamifera (Trailiella phase)","0.0"
2021,5,0,1,"yes","Chaetomorpha","0.0"
2021,5,0,1,"yes","Chordaria flagelliformis","0.0"
2021,5,0,1,"yes","Cladophora","0.0"
2021,5,0,1,"yes","Cladostephus spongiosus","0.0"
2021,5,0,1,"yes","Colpomenia peregrina","0.0"
2021,5,0,1,"yes","Corallina officinalis","0.0"
2021,5,0,1,"yes","Coralline (crust)","0.0"
2021,5,0,1,"yes","Cryptosula pallasiana","0.0"
2021,5,0,1,"yes","Diadumene lineata","0.0"
2021,5,0,1,"yes","Didemnum vexillum","0.0"
2021,5,0,1,"yes","Dynamena pumila","0.0"
2021,5,0,1,"yes","Electra pilosa","0.0"
2021,5,0,1,"yes","Fucus (primary)","0.0"
2021,5,0,1,"yes","Fucus distichus (primary)","0.0"
2021,5,0,1,"yes","Fucus spiralis (primary)","0.0"
2021,5,0,1,"yes","Halichondria","0.0"
2021,5,0,1,"yes","Hildenbrandia rubra","0.0"
2021,5,0,1,"yes","Lithophyllum","0.0"
2021,5,0,1,"yes","Metridium senile","0.0"
2021,5,0,1,"yes","Phymatolithon lenormandii","0.0"
2021,5,0,1,"yes","Porphyra","0.0"
2021,5,0,1,"yes","Ralfsia","0.0"
2021,5,0,1,"yes","Scytosiphon lomentaria","0.0"
2021,5,0,1,"yes","Shell hash","0.0"
2021,5,0,1,"yes","Spirorbis","0.0"
2021,5,0,1,"yes","Tricellaria inopinata","0.0"
2021,5,0,1,"yes","Ulva lactuca","0.0"
2021,5,0,1,"yes","Verrucaria","0.0"
