Year,Transect,Level,Replicate,Data_taken,Fucus_maxlength,Fucus_max_species,Asco_maxlength,Asco_maxbladders
NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,15,0,1,y,NA,NA,NA,NA
2020,15,0,2,y,NA,NA,NA,NA
2020,15,0,3,y,NA,NA,NA,NA
2020,15,1,1,y,NA,NA,NA,NA
2020,15,1,2,y,NA,NA,NA,NA
2020,15,1,3,y,NA,NA,NA,NA
2020,15,2,1,y,NA,NA,NA,NA
2020,15,2,2,y,NA,NA,NA,NA
2020,15,2,3,y,NA,NA,NA,NA
2020,15,3,1,y,NA,NA,NA,NA
2020,15,3,2,y,NA,NA,NA,NA
2020,15,3,3,y,NA,NA,NA,NA
2020,15,4,1,y,NA,NA,NA,NA
2020,15,4,2,y,NA,NA,NA,NA
2020,15,4,3,y,NA,NA,NA,NA
2020,15,5,1,y,NA,NA,NA,NA
2020,15,5,2,y,NA,NA,NA,NA
2020,15,5,3,y,NA,NA,NA,NA
2020,15,6,1,y,NA,NA,NA,NA
2020,15,6,2,y,0.6,FSP,NA,NA
2020,15,6,3,y,NA,NA,NA,NA
2020,15,7,1,y,3.8,FSP,NA,NA
2020,15,7,2,y,1.8,FSP,NA,NA
2020,15,7,3,y,1.4,FSP,NA,NA
2020,15,8,1,y,11.5,FD,NA,NA
2020,15,8,2,y,6.1,FD,NA,NA
2020,15,8,3,y,6.3,FD,NA,NA
2020,15,9,1,y,12.8,FD,NA,NA
2020,15,9,2,y,10.8,FD,NA,NA
2020,15,9,3,y,12.5,FD,NA,NA
2020,15,10,1,n,NA,NA,NA,NA
2020,15,10,2,n,NA,NA,NA,NA
2020,15,10,3,n,NA,NA,NA,NA
2020,15,11,1,n,NA,NA,NA,NA
2020,15,11,2,n,NA,NA,NA,NA
2020,15,11,3,n,NA,NA,NA,NA
2020,15,12,1,n,NA,NA,NA,NA
2020,15,12,2,n,NA,NA,NA,NA
2020,15,12,3,n,NA,NA,NA,NA
2020,15,13,1,n,NA,NA,NA,NA
2020,15,13,2,n,NA,NA,NA,NA
2020,15,13,3,n,NA,NA,NA,NA
2020,15,14,1,n,NA,NA,NA,NA
2020,15,14,2,n,NA,NA,NA,NA
2020,15,14,3,n,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,20,0,1,y,NA,NA,NA,NA
2020,20,0,2,y,NA,NA,NA,NA
2020,20,0,3,y,NA,NA,NA,NA
2020,20,1,1,y,NA,NA,NA,NA
2020,20,1,2,y,NA,NA,NA,NA
2020,20,1,3,y,NA,NA,NA,NA
2020,20,2,1,y,NA,NA,NA,NA
2020,20,2,2,y,NA,NA,NA,NA
2020,20,2,3,y,NA,NA,NA,NA
2020,20,3,1,y,NA,NA,NA,NA
2020,20,3,2,y,NA,NA,NA,NA
2020,20,3,3,y,NA,NA,NA,NA
2020,20,4,1,y,NA,NA,NA,NA
2020,20,4,2,y,NA,NA,NA,NA
2020,20,4,3,y,NA,NA,NA,NA
2020,20,5,1,y,NA,NA,NA,NA
2020,20,5,2,y,NA,NA,NA,NA
2020,20,5,3,y,NA,NA,NA,NA
2020,20,6,1,y,NA,NA,NA,NA
2020,20,6,2,y,NA,NA,NA,NA
2020,20,6,3,y,4.1,FD,NA,NA
2020,20,7,1,y,7.7,FD,NA,NA
2020,20,7,2,y,7.8,FD,NA,NA
2020,20,7,3,y,4.6,FD,NA,NA
2020,20,8,1,y,NA,NA,NA,NA
2020,20,8,2,y,6.4,FD,NA,NA
2020,20,8,3,y,6.7,FV,NA,NA
2020,20,9,1,y,6.1,FD,NA,NA
2020,20,9,2,y,4.2,FD,NA,NA
2020,20,9,3,y,16.7,FD,13,0
2020,20,10,1,y,5.3,FD,NA,NA
2020,20,10,2,y,NA,NA,NA,NA
2020,20,10,3,y,NA,NA,NA,NA
2020,20,11,1,n,NA,NA,NA,NA
2020,20,11,2,n,NA,NA,NA,NA
2020,20,11,3,n,NA,NA,NA,NA
2020,20,12,1,n,NA,NA,NA,NA
2020,20,12,2,n,NA,NA,NA,NA
2020,20,12,3,n,NA,NA,NA,NA
2020,20,13,1,n,NA,NA,NA,NA
2020,20,13,2,n,NA,NA,NA,NA
2020,20,13,3,n,NA,NA,NA,NA
2020,20,14,1,n,NA,NA,NA,NA
2020,20,14,2,n,NA,NA,NA,NA
2020,20,14,3,n,NA,NA,NA,NA
2020,22,-4,1,y,NA,NA,NA,NA
2020,22,-4,2,y,NA,NA,NA,NA
2020,22,-4,3,y,NA,NA,NA,NA
2020,22,-3,1,y,NA,NA,NA,NA
2020,22,-3,2,y,NA,NA,NA,NA
2020,22,-3,3,y,NA,NA,NA,NA
2020,22,-2,1,y,NA,NA,NA,NA
2020,22,-2,2,y,NA,NA,NA,NA
2020,22,-2,3,y,NA,NA,NA,NA
2020,22,-1,1,y,NA,NA,NA,NA
2020,22,-1,2,y,NA,NA,NA,NA
2020,22,-1,3,y,NA,NA,NA,NA
2020,22,0,1,y,NA,NA,NA,NA
2020,22,0,2,y,NA,NA,NA,NA
2020,22,0,3,y,NA,NA,NA,NA
2020,22,1,1,y,NA,NA,NA,NA
2020,22,1,2,y,NA,NA,NA,NA
2020,22,1,3,y,NA,NA,NA,NA
2020,22,2,1,y,NA,NA,NA,NA
2020,22,2,2,y,NA,NA,NA,NA
2020,22,2,3,y,NA,NA,NA,NA
2020,22,3,1,y,NA,NA,NA,NA
2020,22,3,2,y,NA,NA,NA,NA
2020,22,3,3,y,NA,NA,NA,NA
2020,22,4,1,y,NA,NA,NA,NA
2020,22,4,2,y,NA,NA,NA,NA
2020,22,4,3,y,NA,NA,NA,NA
2020,22,5,1,y,NA,NA,NA,NA
2020,22,5,2,y,NA,NA,NA,NA
2020,22,5,3,y,NA,NA,NA,NA
2020,22,6,1,y,NA,NA,NA,NA
2020,22,6,2,y,NA,NA,NA,NA
2020,22,6,3,y,NA,NA,NA,NA
2020,22,7,1,y,1.5,FSP,NA,NA
2020,22,7,2,y,3.8,FD,NA,NA
2020,22,7,3,y,0.6,FSP,NA,NA
2020,22,8,1,y,8.8,FD,NA,NA
2020,22,8,2,y,5.7,FD,NA,NA
2020,22,8,3,y,6.8,FD,NA,NA
2020,22,9,1,y,1.3,FD,NA,NA
2020,22,9,2,y,5.8,FD,NA,NA
2020,22,9,3,y,6.1,FD,NA,NA
2020,22,10,1,y,5.4,FD,NA,NA
2020,22,10,2,y,6.9,FD,NA,NA
2020,22,10,3,y,13.7,FD,NA,NA
2020,22,11,1,n,NA,NA,NA,NA
2020,22,11,2,n,NA,NA,NA,NA
2020,22,11,3,n,NA,NA,NA,NA
2020,22,12,1,n,NA,NA,NA,NA
2020,22,12,2,n,NA,NA,NA,NA
2020,22,12,3,n,NA,NA,NA,NA
2020,22,13,1,n,NA,NA,NA,NA
2020,22,13,2,n,NA,NA,NA,NA
2020,22,13,3,n,NA,NA,NA,NA
2020,22,14,1,n,NA,NA,NA,NA
2020,22,14,2,n,NA,NA,NA,NA
2020,22,14,3,n,NA,NA,NA,NA
NA,26,NA,NA,NA,NA,NA,NA,NA
2020,26,0,1,y,NA,NA,NA,NA
2020,26,0,2,y,NA,NA,NA,NA
2020,26,0,3,y,NA,NA,NA,NA
2020,26,1,1,y,NA,NA,NA,NA
2020,26,1,2,y,NA,NA,NA,NA
2020,26,1,3,y,NA,NA,NA,NA
2020,26,2,1,y,NA,NA,NA,NA
2020,26,2,2,y,NA,NA,NA,NA
2020,26,2,3,y,NA,NA,NA,NA
2020,26,3,1,y,NA,NA,NA,NA
2020,26,3,2,y,NA,NA,NA,NA
2020,26,3,3,y,NA,NA,NA,NA
2020,26,4,1,y,NA,NA,NA,NA
