Year,Transect,Level,Replicate,Data_taken,Fucus_maxlength,Fucus_max_species,Asco_maxlength,Asco_maxbladders
2019,5,0,1,Yes,N/A,N/A,N/A,N/A
2019,5,0,2,Yes,N/A,N/A,N/A,N/A
2019,5,0,3,Yes,N/A,N/A,N/A,N/A
2019,5,1,1,Yes,N/A,N/A,N/A,N/A
2019,5,1,2,Yes,N/A,N/A,N/A,N/A
2019,5,1,3,Yes,N/A,N/A,N/A,N/A
2019,5,2,1,Yes,N/A,N/A,N/A,N/A
2019,5,2,2,Yes,N/A,N/A,N/A,N/A
2019,5,2,3,Yes,N/A,N/A,N/A,N/A
2019,5,3,1,Yes,N/A,N/A,N/A,N/A
2019,5,3,2,Yes,N/A,N/A,N/A,N/A
2019,5,3,3,Yes,N/A,N/A,N/A,N/A
2019,5,4,1,Yes,N/A,N/A,N/A,N/A
2019,5,4,2,Yes,N/A,N/A,N/A,N/A
2019,5,4,3,Yes,N/A,N/A,N/A,N/A
2019,5,5,1,Yes,N/A,N/A,N/A,N/A
2019,5,5,2,No,N/A,N/A,N/A,N/A
2019,5,5,3,No,N/A,N/A,N/A,N/A
2019,5,6,1,Yes,7.87,FV,"NA","NA"
2019,5,6,2,Yes,23.88,V,"NA","NA"
2019,5,6,3,Yes,"NA","NA","NA","NA"
2019,5,7,1,Yes,"NA","NA",66.29,ND
2019,5,7,2,Yes,ND,ND,51.31,3.0
2019,5,7,3,Yes,"NA","NA",185.42,4.0
2019,5,8,1,Yes,ND,ND,49.53,3.0
2019,5,8,2,Yes,7.37,ND,42.67,ND
2019,5,8,3,Yes,3.05,FSP,"NA","NA"
2019,5,9,1,Yes,5.3,FV,62.23,3.0
2019,5,9,2,Yes,"NA","NA",73.66,4.0
2019,5,9,3,Yes,39.88,FSP,55.88,3.0
2019,5,10,1,Yes,"NA","NA","NA","NA"
2019,5,10,2,Yes,"NA","NA",33.02,ND
2019,5,10,3,Yes,18.796,FV,NA,NA
2019,5,11,1,Yes,"NA","NA","NA","NA"
2019,5,11,2,Yes,20.32,FV,82.55,5.0
2019,5,11,3,Yes,58.42,FV,"NA","NA"
2019,5,12,1,Yes,49.53,FV,"NA",NS
2019,5,12,2,Yes,73.91,FV,"NA","NA"
2019,5,12,3,Yes,12.07,FV,"NA","NA"
2019,5,13,1,Yes,20.32,FV,0.0,0.0
2019,5,13,2,Yes,23.62,FV,0.0,0.0
2019,5,13,3,Yes,"NA","NA","NA","NA"
2019,5,14,1,Yes,17.02,FV,"NA","NA"
2019,5,14,2,Yes,ND,ND,"NA","NA"
2019,5,14,3,Yes,ND,ND,"NA","NA"
2019,15,-1,1,Yes,"NA","NA","NA","NA"
2019,15,-1,2,Yes,"NA","NA","NA","NA"
2019,15,-1,3,Yes,"NA","NA","NA","NA"
2019,15,0,1,Yes,"NA","NA","NA","NA"
2019,15,0,2,Yes,"NA","NA","NA","NA"
2019,15,0,3,Yes,"NA","NA","NA","NA"
2019,15,1,1,Yes,"NA","NA","NA","NA"
2019,15,1,2,Yes,"NA","NA","NA","NA"
2019,15,1,3,Yes,"NA","NA","NA","NA"
2019,15,2,1,Yes,"NA","NA","NA","NA"
2019,15,2,2,Yes,"NA","NA","NA","NA"
2019,15,2,3,Yes,"NA","NA","NA","NA"
2019,15,3,1,Yes,"NA","NA","NA","NA"
2019,15,3,2,Yes,"NA","NA","NA","NA"
2019,15,3,3,Yes,"NA","NA","NA","NA"
2019,15,4,1,Yes,"NA","NA","NA","NA"
2019,15,4,2,Yes,"NA","NA","NA","NA"
2019,15,4,3,Yes,"NA","NA","NA","NA"
2019,15,5,1,Yes,"NA","NA","NA","NA"
2019,15,5,2,Yes,"NA","NA","NA","NA"
2019,15,5,3,Yes,"NA","NA","NA","NA"
2019,15,6,1,Yes,1.27,FSP,"NA","NA"
2019,15,6,2,Yes,"NA","NA","NA","NA"
2019,15,6,3,Yes,4.57,FSP,"NA","NA"
2019,15,7,1,Yes,7.37,FV,"NA","NA"
2019,15,7,1,Yes,8.13,FD,"NA","NA"
2019,15,7,2,Yes,"NA","NA","NA","NA"
2019,15,7,3,Yes,6.35,FD,"NA","NA"
2019,15,7,3,Yes,4.06,FV,"NA","NA"
2019,15,8,1,Yes,8.38,FD,"NA","NA"
2019,15,8,2,Yes,2.8,FD,"NA","NA"
2019,15,8,3,Yes,"NA","NA","NA","NA"
2019,15,9,1,Yes,"NA","NA","NA","NA"
2019,15,9,2,Yes,0.47,FV,"NA","NA"
2019,15,9,3,Yes,0.39,FV,0.43,ND
2019,15,10,1,Yes,FD,22.1,"NA","NA"
2019,15,10,2,Yes,9.65,FV,"NA","NA"
2019,15,10,3,Yes,FV,9.65,"NA","NA"
2019,15,11,1,Yes,1.26,FV,"NA","NA"
2019,15,11,2,Yes,1.61,FV,"NA","NA"
2019,15,11,3,Yes,"NA","NA","NA","NA"
2019,15,12,1,Yes,"NA","NA","NA","NA"
2019,15,12,2,Yes,"NA","NA","NA","NA"
2019,15,12,3,Yes,"NA","NA","NA","NA"
2019,15,13,1,No,"NA","NA","NA","NA"
2019,15,13,2,No,"NA","NA","NA","NA"
2019,15,13,3,No,"NA","NA","NA","NA"
2019,15,14,1,No,"NA","NA","NA","NA"
2019,15,14,2,No,"NA","NA","NA","NA"
2019,15,14,3,No,"NA","NA","NA","NA"
2019,20,-2,1,Yes,"NA","NA","NA","NA"
2019,20,-2,2,Yes,"NA","NA","NA","NA"
2019,20,-2,3,Yes,"NA","NA","NA","NA"
2019,20,-1,1,Yes,"NA","NA","NA","NA"
2019,20,-1,2,Yes,"NA","NA","NA","NA"
2019,20,-1,3,Yes,"NA","NA","NA","NA"
2019,20,0,1,Yes,"NA","NA","NA","NA"
2019,20,0,2,Yes,"NA","NA","NA","NA"
2019,20,0,3,Yes,"NA","NA","NA","NA"
2019,20,1,1,Yes,"NA","NA","NA","NA"
2019,20,1,2,Yes,"NA","NA","NA","NA"
2019,20,1,3,Yes,"NA","NA","NA","NA"
2019,20,2,1,Yes,"NA","NA","NA","NA"
2019,20,2,2,Yes,"NA","NA","NA","NA"
2019,20,2,3,Yes,"NA","NA","NA","NA"
2019,20,3,1,Yes,"NA","NA","NA","NA"
2019,20,3,2,Yes,"NA","NA","NA","NA"
2019,20,3,3,Yes,"NA","NA","NA","NA"
2019,20,4,1,Yes,"NA","NA","NA","NA"
2019,20,4,2,Yes,"NA","NA","NA","NA"
2019,20,4,3,Yes,1.7,FSP,"NA","NA"
2019,20,5,1,Yes,6.35,FV,"NA","NA"
2019,20,5,2,Yes,"NA","NA","NA","NA"
2019,20,5,3,Yes,4.32,FSP,"NA","NA"
2019,20,6,1,Yes,8.64,FD,"NA","NA"
2019,20,6,2,Yes,"NA","NA","NA","NA"
2019,20,6,3,Yes,5.84,FD,"NA","NA"
2019,20,7,1,Yes,3.05,FSP,"NA","NA"
2019,20,7,2,Yes,ND,ND,"NA","NA"
2019,20,7,3,Yes,"NA","NA","NA","NA"
2019,20,8,1,Yes,11.94,FD,"NA","NA"
2019,20,8,2,Yes,"NA","NA","NA","NA"
2019,20,8,3,Yes,8.26,FD,"NA","NA"
2019,20,9,1,Yes,"12.7, 4.8","FV, FD","NA","NA"
2019,20,9,2,Yes,7.62,FD,"NA","NA"
2019,20,9,3,Yes,5.08,FV,"NA","NA"
2019,20,10,1,Yes,"NA","NA","NA","NA"
2019,20,10,2,Yes,"NA","NA","NA","NA"
2019,20,10,3,Yes,5.33,FD,"NA","NA"
2019,20,11,1,No,"NA","NA","NA","NA"
2019,20,11,2,No,"NA","NA","NA","NA"
2019,20,11,3,No,"NA","NA","NA","NA"
2019,20,12,1,No,"NA","NA","NA","NA"
2019,20,12,2,No,"NA","NA","NA","NA"
2019,20,12,3,No,"NA","NA","NA","NA"
2019,20,13,1,No,"NA","NA","NA","NA"
2019,20,13,2,No,"NA","NA","NA","NA"
2019,20,13,3,No,"NA","NA","NA","NA"
2019,20,14,1,No,"NA","NA","NA","NA"
2019,20,14,2,No,"NA","NA","NA","NA"
2019,20,14,3,No,"NA","NA","NA","NA"
2019,26,0,1,Yes,"NA","NA","NA","NA"
2019,26,0,2,Yes,"NA","NA","NA","NA"
2019,26,0,3,Yes,"NA","NA","NA","NA"
2019,26,1,1,Yes,"NA","NA","NA","NA"
2019,26,1,2,Yes,"NA","NA","NA","NA"
2019,26,1,3,Yes,"NA","NA","NA","NA"
2019,26,2,1,Yes,"NA","NA","NA","NA"
2019,26,2,2,Yes,"NA","NA","NA","NA"
2019,26,2,3,Yes,"NA","NA","NA","NA"
2019,26,3,1,Yes,"NA","NA","NA","NA"
2019,26,3,2,Yes,"NA","NA","NA","NA"
2019,26,3,3,Yes,"NA","NA","NA","NA"
2019,26,4,1,Yes,"NA","NA","NA","NA"
2019,26,4,2,Yes,"NA","NA","NA","NA"
2019,26,4,3,Yes,"NA","NA","NA","NA"
2019,26,5,1,Yes,"NA","NA","NA","NA"
2019,26,5,2,Yes,"NA","NA","NA","NA"
2019,26,5,3,Yes,"NA","NA","NA","NA"
2019,26,6,1,Yes,"NA","NA","NA","NA"
2019,26,6,2,Yes,"NA","NA","NA","NA"
2019,26,6,3,Yes,"NA","NA","NA","NA"
2019,26,7,1,Yes,12.07,FV,92.71,7.0
2019,26,7,2,Yes,13.97,FV,49.3,3.0
2019,26,7,3,Yes,16.51,FV,33.53,1.0
2019,26,8,1,Yes,9.144,FSP,97.79,7.0
2019,26,8,2,Yes,2.29,FSP,60.96,4.0
2019,26,8,3,Yes,22.606,FV,61.72,4.0
2019,26,9,1,Yes,"NA","NA",43.18,3.0
2019,26,9,2,Yes,32.51,FV,52.83,5.0
2019,26,9,3,Yes,"NA","NA",49.53,3.0
2019,26,10,1,Yes,26.92,FV,25.4,0.0
2019,26,10,2,Yes,24.13,FV,65.024,2.0
2019,26,10,3,Yes,0.0,0.0,ND,ND
2019,26,11,1,Yes,28.45,FD,"NA","NA"
2019,26,11,2,Yes,"NA","NA",51.31,2.0
2019,26,11,3,Yes,"NA","NA",76.96,4.0
2019,26,12,1,Yes,2.54,FV,"NA","NA"
2019,26,12,2,Yes,"NA","NA","NA","NA"
2019,26,12,3,Yes,"NA","NA","NA","NA"
2019,26,13,1,No,"NA","NA","NA","NA"
2019,26,13,2,No,"NA","NA","NA","NA"
2019,26,13,3,No,"NA","NA","NA","NA"
2019,26,14,1,No,"NA","NA","NA","NA"
2019,26,14,2,No,"NA","NA","NA","NA"
