AphiaID,valid_name,valid_authority,kingdom,phylum,class,order,family,genus,ID_confidence,comments
158489,Asterias forbesi,"(Desor, 1848)",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,high,"NA"
123776,Asterias rubens,"Linnaeus, 1758",Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,high,"NA"
140276,Testudinalia testudinalis,"(O. F. Müller, 1776)",Animalia,Mollusca,Gastropoda,"NA",Lottiidae,Tectura,high,"NA"
2847,Acoela,"NA",Animalia,Xenacoelomorpha,"NA",Acoela,"NA","NA",high,Not quantified after 2004 at least.
143803,Acrosiphonia,"J.Agardh, 1846",Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,medium,"NA"
143803,Acrosiphonia,"J.Agardh, 1847",Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Acrosiphonia,medium,"NA"
144422,Ahnfeltia plicata,"(Hudson) E.M.Fries, 1833",Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,high,"NA"
144422,Ahnfeltia plicata,"(Hudson) E.M.Fries, 1834",Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,high,"NA"
144422,Ahnfeltia plicata,"(Hudson) E.M.Fries, 1835",Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,high,"NA"
144422,Ahnfeltia plicata,"(Hudson) E.M.Fries, 1836",Plantae,Rhodophyta,Florideophyceae,Ahnfeltiales,Ahnfeltiaceae,Ahnfeltia,high,"NA"
145716,Alaria esculenta (canopy),"(Linnaeus) Greville, 1828",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,high,"NA"
145716,Alaria esculenta (primary),"(Linnaeus) Greville, 1829",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,high,"NA"
145716,Alaria esculenta (primary),"(Linnaeus) Greville, 1830",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,high,"NA"
145716,Alaria esculenta (canopy),"(Linnaeus) Greville, 1831",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,high,"NA"
145716,Alaria esculenta (primary),"(Linnaeus) Greville, 1832",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,high,"NA"
145716,Alaria esculenta (canopy),"(Linnaeus) Greville, 1833",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,high,"NA"
145716,Alaria esculenta (primary),"(Linnaeus) Greville, 1834",Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,high,"NA"
110993,Alcyonidium,"J.V.F.Lamouroux, 1813",Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,low,"NA"
